Date,Time,Lock Option,Number of Threads,No. of Links Visited,Success status(200)
2022-24-05,01.30.01PM,Lockfree,1,33,4,12.121212121212121%
2022-24-05,01.30.32PM,Lockfree,1,33,5,15.151515151515152%
2022-24-05,01.31.36PM,Lockfree,1,39,5,12.82051282051282%
2022-24-05,01.32.39PM,Lockfree,1,28,4,14.285714285714285%
2022-24-05,01.33.42PM,Semaphorelock,1,3737,7,0.18731602890018734%
2022-24-05,01.34.45PM,Semaphorelock,1,359,18,5.013927576601671%
2022-24-05,01.35.49PM,Semaphorelock,1,70,11,15.714285714285714%
2022-24-05,01.36.52PM,Monitorlock,1,3853,7,0.18167661562418894%
2022-24-05,01.37.55PM,Monitorlock,1,307,11,3.5830618892508146%
2022-24-05,01.38.58PM,Monitorlock,1,49,7,14.285714285714285%
2022-24-05,01.40.02PM,Lockfree,1,32,4,12.5%
2022-24-05,01.41.06PM,Lockfree,1,37,6,16.216216216216218%
2022-24-05,01.42.09PM,Lockfree,1,18,3,16.666666666666664%
2022-24-05,01.43.13PM,Semaphorelock,1,2162,6,0.27752081406105455%
2022-24-05,01.44.16PM,Semaphorelock,1,350,16,4.571428571428571%
2022-24-05,01.45.19PM,Semaphorelock,1,70,11,15.714285714285714%
2022-24-05,01.46.22PM,Monitorlock,1,3613,7,0.19374481040686412%
2022-24-05,01.47.25PM,Monitorlock,1,224,6,2.6785714285714284%
2022-24-05,01.48.29PM,Monitorlock,1,45,3,6.666666666666667%
2022-24-05,01.49.32PM,Lockfree,1,12,2,16.666666666666664%
2022-24-05,01.50.36PM,Lockfree,1,22,5,22.727272727272727%
2022-24-05,01.51.40PM,Lockfree,1,18,3,16.666666666666664%
2022-24-05,01.52.43PM,Semaphorelock,1,1660,5,0.30120481927710846%
2022-24-05,01.53.46PM,Semaphorelock,1,284,9,3.169014084507042%
2022-24-05,01.54.49PM,Semaphorelock,1,48,5,10.416666666666668%
2022-24-05,01.55.52PM,Monitorlock,1,1625,4,0.24615384615384617%
2022-24-05,01.56.56PM,Monitorlock,1,224,6,2.6785714285714284%
2022-24-05,01.57.59PM,Monitorlock,1,47,4,8.51063829787234%
2022-24-05,01.59.02PM,Lockfree,4,12,1,8.333333333333332%
2022-24-05,02.00.06PM,Lockfree,4,23,9,39.130434782608695%
2022-24-05,02.01.09PM,Lockfree,4,11,4,36.36363636363637%
2022-24-05,02.02.13PM,Semaphorelock,4,1678,7,0.4171632896305125%
2022-24-05,02.03.16PM,Semaphorelock,4,409,26,6.356968215158925%
2022-24-05,02.04.20PM,Semaphorelock,4,70,12,17.142857142857142%
2022-24-05,02.05.24PM,Monitorlock,4,341,9,2.6392961876832843%
2022-24-05,02.06.28PM,Monitorlock,4,224,9,4.017857142857143%
2022-24-05,02.07.32PM,Monitorlock,4,63,16,25.396825396825395%
2022-24-05,02.08.35PM,Lockfree,4,22,4,18.181818181818183%
2022-24-05,02.09.38PM,Lockfree,4,39,7,17.94871794871795%
2022-24-05,02.10.42PM,Lockfree,4,22,7,31.818181818181817%
2022-24-05,02.11.45PM,Semaphorelock,4,2166,8,0.3693444136657433%
2022-24-05,02.12.48PM,Semaphorelock,4,499,36,7.214428857715431%
2022-24-05,02.13.51PM,Semaphorelock,4,113,33,29.20353982300885%
2022-24-05,02.14.55PM,Monitorlock,4,508,14,2.7559055118110236%
2022-24-05,02.15.58PM,Monitorlock,4,63,5,7.936507936507936%
2022-24-05,02.17.01PM,Monitorlock,4,112,27,24.107142857142858%
2022-24-05,02.18.04PM,Lockfree,4,46,9,19.565217391304348%
2022-24-05,02.19.08PM,Lockfree,4,90,22,24.444444444444443%
2022-24-05,02.20.11PM,Lockfree,4,30,8,26.666666666666668%
2022-24-05,02.21.14PM,Semaphorelock,4,4204,9,0.21408182683158894%
2022-24-05,02.22.17PM,Semaphorelock,4,637,47,7.378335949764521%
2022-24-05,02.23.24PM,Semaphorelock,4,113,36,31.858407079646017%
2022-24-05,02.24.28PM,Monitorlock,4,738,15,2.0325203252032518%
2022-24-05,02.25.31PM,Monitorlock,4,74,5,6.756756756756757%
2022-24-05,02.26.34PM,Monitorlock,4,61,15,24.59016393442623%
2022-24-05,02.27.37PM,Lockfree,7,37,9,24.324324324324326%
2022-24-05,02.28.41PM,Lockfree,7,56,18,32.142857142857146%
2022-24-05,02.29.44PM,Lockfree,7,43,16,37.2093023255814%
2022-24-05,02.30.47PM,Semaphorelock,7,2421,10,0.41305245766212306%
2022-24-05,02.31.50PM,Semaphorelock,7,1077,77,7.149489322191272%
2022-24-05,02.32.54PM,Semaphorelock,7,119,36,30.252100840336134%
2022-24-05,02.33.58PM,Monitorlock,7,285,16,5.614035087719298%
2022-24-05,02.35.03PM,Monitorlock,7,312,122,39.1025641025641%
2022-24-05,02.36.08PM,Monitorlock,7,58,22,37.93103448275862%
2022-24-05,02.37.12PM,Lockfree,7,46,15,32.608695652173914%
2022-24-05,02.38.15PM,Lockfree,7,70,30,42.857142857142854%
2022-24-05,02.39.19PM,Lockfree,7,30,10,33.33333333333333%
2022-24-05,02.40.22PM,Semaphorelock,7,3284,11,0.33495736906211937%
2022-24-05,02.41.25PM,Semaphorelock,7,1161,84,7.235142118863049%
2022-24-05,02.42.29PM,Semaphorelock,7,114,42,36.84210526315789%
2022-24-05,02.43.34PM,Monitorlock,7,369,17,4.607046070460704%
2022-24-05,02.44.38PM,Monitorlock,7,134,118,88.05970149253731%
2022-24-05,02.45.42PM,Monitorlock,7,83,32,38.55421686746988%
2022-24-05,02.46.45PM,Lockfree,7,44,10,22.727272727272727%
2022-24-05,02.47.48PM,Lockfree,7,104,36,34.61538461538461%
2022-24-05,02.48.52PM,Lockfree,7,39,20,51.28205128205128%
2022-24-05,02.49.55PM,Semaphorelock,7,2988,11,0.3681392235609103%
2022-24-05,02.50.58PM,Semaphorelock,7,1059,80,7.554296506137866%
2022-24-05,02.52.02PM,Semaphorelock,7,113,34,30.08849557522124%
2022-24-05,02.53.05PM,Monitorlock,7,386,12,3.1088082901554404%
2022-24-05,02.54.08PM,Monitorlock,7,62,52,83.87096774193549%
2022-24-05,02.55.13PM,Monitorlock,7,57,34,59.64912280701754%
2022-24-05,02.56.16PM,Lockfree,10,17,8,47.05882352941176%
2022-24-05,02.57.20PM,Lockfree,10,74,33,44.5945945945946%
2022-24-05,02.58.23PM,Lockfree,10,26,16,61.53846153846154%
2022-24-05,02.59.27PM,Semaphorelock,10,799,11,1.376720901126408%
2022-24-05,03.00.30PM,Semaphorelock,10,1138,94,8.260105448154658%
2022-24-05,03.01.33PM,Semaphorelock,10,116,45,38.793103448275865%
2022-24-05,03.02.36PM,Monitorlock,10,228,13,5.701754385964912%
2022-24-05,03.03.41PM,Monitorlock,10,610,110,18.0327868852459%
2022-24-05,03.04.45PM,Monitorlock,10,2,1,50.0%
2022-24-05,03.05.49PM,Lockfree,10,47,14,29.78723404255319%
2022-24-05,03.06.53PM,Lockfree,10,68,37,54.41176470588235%
2022-24-05,03.07.56PM,Lockfree,10,28,12,42.857142857142854%
2022-24-05,03.08.59PM,Semaphorelock,10,854,12,1.405152224824356%
2022-24-05,03.10.02PM,Semaphorelock,10,887,79,8.90642615558061%
2022-24-05,03.11.07PM,Semaphorelock,10,121,42,34.710743801652896%
2022-24-05,03.12.12PM,Monitorlock,10,328,21,6.402439024390244%
2022-24-05,03.13.15PM,Monitorlock,10,120,53,44.166666666666664%
2022-24-05,03.14.19PM,Monitorlock,10,49,33,67.3469387755102%
2022-24-05,03.15.22PM,Lockfree,10,17,7,41.17647058823529%
2022-24-05,03.16.25PM,Lockfree,10,72,35,48.61111111111111%
2022-24-05,03.17.28PM,Lockfree,10,41,18,43.90243902439025%
2022-24-05,03.18.31PM,Semaphorelock,10,2024,14,0.691699604743083%
2022-24-05,03.19.35PM,Semaphorelock,10,753,54,7.171314741035857%
2022-24-05,03.20.38PM,Semaphorelock,10,113,39,34.51327433628318%
2022-24-05,03.21.42PM,Monitorlock,10,1251,11,0.8792965627498002%
2022-24-05,03.22.46PM,Monitorlock,10,10,1,10.0%
2022-24-05,03.23.49PM,Monitorlock,10,35,11,31.428571428571427%
2022-24-05,03.24.55PM,Lockfree,13,2,1,50.0%
2022-24-05,03.26.00PM,Lockfree,13,7,1,14.285714285714285%
2022-24-05,03.27.04PM,Lockfree,13,45,25,55.55555555555556%
2022-24-05,03.28.07PM,Semaphorelock,13,1173,15,1.278772378516624%
2022-24-05,03.29.11PM,Semaphorelock,13,928,65,7.004310344827585%
2022-24-05,03.30.14PM,Semaphorelock,13,114,37,32.45614035087719%
2022-24-05,03.31.17PM,Monitorlock,13,317,23,7.255520504731862%
2022-24-05,03.32.20PM,Monitorlock,13,84,65,77.38095238095238%
2022-24-05,03.33.24PM,Monitorlock,13,66,44,66.66666666666666%
2022-24-05,03.34.28PM,Lockfree,13,41,18,43.90243902439025%
2022-24-05,03.35.31PM,Lockfree,13,119,66,55.46218487394958%
2022-24-05,03.36.34PM,Lockfree,13,42,22,52.38095238095239%
2022-24-05,03.37.38PM,Semaphorelock,13,2001,16,0.7996001999000499%
2022-24-05,03.38.41PM,Semaphorelock,13,935,68,7.2727272727272725%
2022-24-05,03.39.45PM,Semaphorelock,13,120,42,35.0%
2022-24-05,03.40.48PM,Monitorlock,13,530,20,3.7735849056603774%
2022-24-05,03.41.51PM,Monitorlock,13,183,36,19.672131147540984%
2022-24-05,03.42.55PM,Monitorlock,13,2,1,50.0%
2022-24-05,03.44.00PM,Lockfree,13,2,1,50.0%
2022-24-05,03.45.03PM,Lockfree,13,56,27,48.214285714285715%
2022-24-05,03.46.07PM,Lockfree,13,11,5,45.45454545454545%
