Date,Time,Lock Option,Number of Threads,No. of Links Visited
2022-27-05,08.09.32PM,Monitorlock,18,33052
2022-27-05,08.09.38PM,Monitorlock,18,32748
2022-27-05,08.09.43PM,Monitorlock,18,33016
2022-27-05,08.09.48PM,Monitorlock,18,33024
2022-27-05,08.09.52PM,Monitorlock,18,32302
2022-27-05,08.09.57PM,Monitorlock,18,33191
2022-27-05,08.10.02PM,Monitorlock,18,32878
2022-27-05,08.10.16PM,Monitorlock,18,32867
2022-27-05,08.10.22PM,Monitorlock,18,32752
2022-27-05,08.10.27PM,Monitorlock,18,32534
2022-27-05,08.10.41PM,Monitorlock,19,32239
2022-27-05,08.10.46PM,Monitorlock,19,32926
2022-27-05,08.10.51PM,Monitorlock,19,32652
2022-27-05,08.10.56PM,Monitorlock,19,32556
2022-27-05,08.11.01PM,Monitorlock,19,32393
2022-27-05,08.11.06PM,Monitorlock,19,33049
2022-27-05,08.11.11PM,Monitorlock,19,33042
2022-27-05,08.11.16PM,Monitorlock,19,32928
2022-27-05,08.11.21PM,Monitorlock,19,32595
2022-27-05,08.11.27PM,Monitorlock,19,32845
2022-27-05,08.11.58PM,Monitorlock,20,32671
2022-27-05,08.12.04PM,Monitorlock,20,32789
2022-27-05,08.12.09PM,Monitorlock,20,32686
2022-27-05,08.12.14PM,Monitorlock,20,32440
2022-27-05,08.12.19PM,Monitorlock,20,32819
2022-27-05,08.12.24PM,Monitorlock,20,32634
2022-27-05,08.12.29PM,Monitorlock,20,32669
2022-27-05,08.12.34PM,Monitorlock,20,32746
2022-27-05,08.12.39PM,Monitorlock,20,32555
2022-27-05,08.12.44PM,Monitorlock,20,32736
2022-27-05,08.13.10PM,Monitorlock,21,32153
2022-27-05,08.13.16PM,Monitorlock,21,32400
2022-27-05,08.13.22PM,Monitorlock,21,32519
2022-27-05,08.13.27PM,Monitorlock,21,32033
2022-27-05,08.13.32PM,Monitorlock,21,32450
2022-27-05,08.13.36PM,Monitorlock,21,32295
2022-27-05,08.13.41PM,Monitorlock,21,32340
2022-27-05,08.13.46PM,Monitorlock,21,32259
2022-27-05,08.13.51PM,Monitorlock,21,32267
2022-27-05,08.13.55PM,Monitorlock,21,31612
2022-27-05,08.14.38PM,Monitorlock,22,32221
2022-27-05,08.17.19PM,Monitorlock,22,32406
2022-27-05,08.17.25PM,Monitorlock,22,32151
2022-27-05,08.17.30PM,Monitorlock,22,32194
2022-27-05,08.17.36PM,Monitorlock,22,32473
2022-27-05,08.17.42PM,Monitorlock,22,32136
2022-27-05,08.17.47PM,Monitorlock,22,32335
